Date, Berkeley Earth 2m Air Temperature (degree C) 67N-90N;0E-360E
1900,   -1.291
1901,   -1.150
1902,   -2.441
1903,   -1.233
1904,   -0.480
1905,   -1.306
1906,   -0.711
1907,   -0.614
1908,   -1.292
1909,   -1.251
1910,   -1.444
1911,   -1.142
1912,   -2.040
1913,   -1.199
1914,   -0.848
1915,   -1.260
1916,   -1.654
1917,   -1.474
1918,   -1.453
1919,   -1.217
1920,   -0.242
1921,   -0.362
1922,   -0.428
1923,   -0.487
1924,   -0.107
1925,   -0.898
1926,   -0.826
1927,   -0.722
1928,   -0.654
1929,   -1.201
1930,   -0.531
1931,   -0.205
1932,   -0.436
1933,   -0.858
1934,    0.287
1935,   -0.446
1936,   -0.392
1937,    0.757
1938,    1.175
1939,   -0.338
1940,   -0.198
1941,   -1.288
1942,   -0.206
1943,    0.848
1944,    0.721
1945,    0.209
1946,   -0.970
1947,    0.398
1948,   -0.621
1949,   -0.398
1950,   -0.663
1951,   -0.601
1952,   -0.644
1953,    0.559
1954,    0.592
1955,   -0.928
1956,    0.010
1957,   -1.040
1958,   -1.716
1959,    0.319
1960,   -0.581
1961,   -0.472
1962,   -0.844
1963,   -1.929
1964,   -1.327
1965,   -1.204
1966,   -1.841
1967,   -0.149
1968,   -1.366
1969,   -1.182
1970,   -0.969
1971,   -0.338
1972,   -0.442
1973,   -0.698
1974,   -0.508
1975,   -0.180
1976,   -0.625
1977,   -1.063
1978,   -1.413
1979,   -2.326
1980,   -1.032
1981,   -0.176
1982,   -1.299
1983,   -0.133
1984,    0.314
1985,   -0.211
1986,   -0.855
1987,   -1.660
1988,   -0.671
1989,   -0.510
1990,    0.387
1991,    0.185
1992,   -1.072
1993,   -0.313
1994,   -0.619
1995,    1.018
1996,   -0.219
1997,   -0.272
1998,   -1.301
1999,   -0.472
2000,    0.342
2001,    0.277
2002,   -0.065
2003,   -0.115
2004,   -0.420
2005,    1.534
2006,    1.013
2007,    2.082
2008,    1.207
2009,    0.935
2010,    1.089
2011,    2.351
2012,    2.577
2013,    1.008
2014,    1.355
2015,    1.809
2016,    3.184
2017,    2.285
